Epoch	Train_Loss	Train_Acc	Train_F1_W	Val_Loss	Val_Acc	Val_F1_W	T_F1_협박	T_F1_갈취	T_F1_직장 내 괴롭힘	T_F1_기타 괴롭힘	T_F1_일반 대화	V_F1_협박	V_F1_갈취	V_F1_직장 내 괴롭힘	V_F1_기타 괴롭힘	V_F1_일반 대화
1	1.2962	0.4476	0.4451	0.7417	0.7853	0.7833	0.3313	0.4153	0.7213	0.4474	0.3570	0.7292	0.7065	0.9846	0.8241	0.7117
2	0.6309	0.7871	0.7854	0.3620	0.8863	0.8860	0.7611	0.6869	0.9861	0.8088	0.7277	0.8550	0.8421	0.9969	0.9400	0.8152
3	0.3496	0.8868	0.8866	0.2934	0.9042	0.9036	0.8586	0.8346	0.9946	0.9238	0.8438	0.8750	0.8647	0.9969	0.9383	0.8611
4	0.2594	0.9184	0.9183	0.2659	0.9084	0.9079	0.8948	0.8791	0.9992	0.9524	0.8825	0.8766	0.8817	1.0000	0.9455	0.8506
5	0.1927	0.9408	0.9408	0.2671	0.9105	0.9101	0.9264	0.9138	0.9992	0.9649	0.9111	0.8850	0.8738	1.0000	0.9476	0.8604
6	0.1508	0.9537	0.9536	0.2692	0.9168	0.9166	0.9353	0.9333	0.9992	0.9746	0.9350	0.8849	0.8930	1.0000	0.9526	0.8659
7	0.1094	0.9700	0.9700	0.2752	0.9168	0.9168	0.9580	0.9567	1.0000	0.9834	0.9579	0.8860	0.8993	1.0000	0.9514	0.8596
8	0.0888	0.9766	0.9766	0.2822	0.9168	0.9167	0.9670	0.9659	0.9992	0.9885	0.9670	0.8878	0.8889	1.0000	0.9572	0.8635
9	0.0656	0.9832	0.9832	0.2983	0.9095	0.9093	0.9733	0.9761	1.0000	0.9911	0.9790	0.8727	0.8909	1.0000	0.9471	0.8492
10	0.0505	0.9868	0.9868	0.3148	0.9158	0.9155	0.9797	0.9817	0.9992	0.9930	0.9832	0.8831	0.8953	1.0000	0.9545	0.8571
11	0.0414	0.9887	0.9887	0.3201	0.9168	0.9168	0.9866	0.9834	1.0000	0.9955	0.9798	0.8878	0.8973	1.0000	0.9509	0.8605
12	0.0263	0.9950	0.9950	0.3451	0.9137	0.9135	0.9930	0.9954	1.0000	0.9974	0.9895	0.8786	0.8889	1.0000	0.9495	0.8652
13	0.0202	0.9963	0.9963	0.3611	0.9126	0.9124	0.9936	0.9954	1.0000	0.9987	0.9944	0.8778	0.8791	1.0000	0.9545	0.8669
14	0.0196	0.9968	0.9968	0.3713	0.9074	0.9068	0.9962	0.9960	1.0000	0.9987	0.9937	0.8654	0.8869	1.0000	0.9403	0.8563
15	0.0157	0.9974	0.9974	0.3769	0.9063	0.9060	0.9949	0.9983	1.0000	0.9987	0.9951	0.8571	0.8899	1.0000	0.9426	0.8548
16	0.0104	0.9989	0.9989	0.3759	0.9137	0.9135	0.9981	0.9994	1.0000	0.9994	0.9979	0.8794	0.8832	1.0000	0.9521	0.8683
17	0.0104	0.9987	0.9987	0.3820	0.9147	0.9144	0.9975	0.9983	1.0000	0.9994	0.9986	0.8802	0.8955	1.0000	0.9450	0.8652
18	0.0084	0.9984	0.9984	0.3929	0.9168	0.9164	0.9968	0.9989	1.0000	0.9994	0.9972	0.8819	0.9005	1.0000	0.9453	0.8676
19	0.0063	0.9992	0.9992	0.4072	0.9158	0.9157	0.9987	0.9994	1.0000	0.9994	0.9986	0.8794	0.8894	1.0000	0.9521	0.8722
20	0.0082	0.9976	0.9976	0.3927	0.9158	0.9152	0.9975	0.9960	1.0000	0.9994	0.9958	0.8911	0.8944	1.0000	0.9450	0.8588
