Epoch	Train_Loss	Train_Acc	Train_F1	Val_Acc	Val_F1	Val_F1_협박 대화	Val_F1_갈취 대화	Val_F1_직장 내 괴롭힘 대화	Val_F1_기타 괴롭힘 대화	Val_F1_일반 대화
1	1.9929	19.81	16.74	21.68	16.70	34.06	17.87	3.92	23.35	4.30
2	1.8957	23.72	22.98	32.21	31.21	36.10	21.93	46.25	36.08	15.69
3	1.8131	26.55	26.19	41.05	40.50	37.58	26.80	55.20	41.94	40.98
4	1.7430	31.88	32.07	52.63	52.98	44.17	37.93	62.78	46.67	73.33
5	1.6574	38.36	38.78	60.00	60.22	46.91	46.24	72.46	48.95	86.55
6	1.5721	43.11	43.75	66.53	67.00	52.76	55.91	77.83	55.02	93.49
7	1.4802	49.75	50.47	71.79	72.37	60.61	61.70	82.35	60.79	96.39
8	1.3801	54.71	55.48	76.21	76.86	69.32	67.01	84.76	64.42	98.77
9	1.2819	59.84	60.59	76.84	77.55	70.00	68.39	83.90	66.67	98.77
10	1.1744	64.47	65.45	79.37	80.00	72.00	73.68	86.87	69.27	98.16
11	1.0838	68.89	69.71	79.16	79.84	71.96	74.63	86.15	68.32	98.16
12	1.0177	71.11	71.86	82.32	82.76	76.57	79.61	87.18	74.04	96.39
13	0.9443	74.76	75.45	83.37	83.95	76.92	80.95	89.23	73.27	99.38
14	0.8801	77.15	77.90	84.00	84.49	78.65	81.69	89.34	74.00	98.77
15	0.8188	79.51	80.10	85.05	85.62	79.31	82.79	88.89	77.73	99.38
16	0.7753	80.94	81.52	86.11	86.68	82.08	83.96	89.47	78.50	99.38
17	0.7431	81.80	82.38	85.68	86.28	80.43	83.96	89.73	77.88	99.38
18	0.6952	83.60	84.19	86.11	86.71	82.22	83.81	89.25	78.87	99.38
19	0.6772	83.53	84.11	86.95	87.52	83.72	85.33	90.11	79.05	99.38
20	0.6501	84.70	85.25	86.11	86.66	81.56	83.41	88.77	80.19	99.38
21	0.6175	85.92	86.40	86.53	87.07	82.02	83.96	89.25	80.75	99.38
22	0.6037	86.11	86.62	86.74	87.24	80.90	84.51	89.73	81.69	99.38
23	0.5894	86.97	87.47	87.37	87.88	83.43	85.71	89.25	81.65	99.38
24	0.5760	87.84	88.28	87.58	88.04	82.95	85.31	89.95	82.63	99.38
25	0.5645	87.42	87.85	88.21	88.70	83.33	88.24	90.22	82.35	99.38
26	0.5487	87.84	88.28	88.00	88.46	82.76	86.38	90.81	82.95	99.38
27	0.5449	88.16	88.60	88.63	89.12	83.70	88.56	91.40	82.57	99.38
28	0.5354	88.77	89.19	89.26	89.74	83.70	88.89	91.30	84.82	100.00
29	0.5286	88.47	88.86	89.05	89.47	84.21	88.15	91.30	84.30	99.38
30	0.5133	88.98	89.41	89.47	89.92	84.62	89.11	92.47	84.02	99.38
31	0.5064	89.38	89.79	88.42	88.98	83.70	88.67	90.71	81.82	100.00
32	0.5034	89.29	89.70	89.47	89.94	84.44	88.67	91.89	84.68	100.00
33	0.4964	89.52	89.91	89.68	90.08	84.57	88.46	93.05	84.93	99.38
34	0.4926	89.73	90.09	90.53	90.91	85.23	89.22	93.62	86.49	100.00
35	0.4909	89.78	90.20	90.53	90.94	85.88	89.22	93.62	85.97	100.00
36	0.4791	90.11	90.49	90.32	90.73	85.39	89.22	93.05	85.97	100.00
37	0.4634	90.62	90.97	90.32	90.73	85.39	88.67	93.62	85.97	100.00
38	0.4713	90.27	90.64	90.11	90.52	85.88	88.78	93.62	84.93	99.38
39	0.4696	90.39	90.75	90.74	91.13	85.88	90.10	93.05	86.61	100.00
40	0.4656	90.64	91.00	90.11	90.54	85.08	89.11	93.05	85.45	100.00
41	0.4606	91.11	91.41	90.32	90.76	86.03	88.67	93.62	85.45	100.00
42	0.4578	90.92	91.29	90.32	90.76	86.03	88.67	93.62	85.45	100.00
43	0.4533	91.04	91.38	90.53	90.97	86.52	89.22	93.55	85.59	100.00
44	0.4397	91.06	91.43	90.32	90.76	86.03	88.67	93.62	85.45	100.00
